,word,frecuency,Degree_of_fractality,Combined_measured
45,text,5,141.05305287572747,98.59185298015593
209,content,3,205.90371357135882,98.24103817060471
3,words,4,161.80913953837467,97.41880914725891
223,by,7,109.55247302685044,92.58258023370604
236,are,3,187.9267958558828,89.66386863420466
106,on,4,147.51606711326576,88.8135220869479
5,with,3,174.46085207912952,83.2389806434557
100,over,3,167.9768819692928,80.14534068908563
156,humour,3,163.8800394610056,78.19065005114278
148,injected,3,163.20027025674722,77.86631771548724
238,and,10,77.41198716888199,77.41198716888199
123,making,3,149.6910015654881,71.42075848716864
235,as,3,144.5174663672872,68.95235488206669
160,has,4,104.25077146396876,62.765218563530425
158,here,2,201.4307849901112,60.636708332165504
42,their,3,126.2627896017207,60.242660599177725
121,many,3,123.6316016978443,58.98726492507702
55,sometimes,2,195.19246036507167,58.758785497339346
30,type,2,191.72672446227193,57.715495033547036
196,dummy,2,191.72672446227193,57.715495033547036
0,you,2,179.60736476840276,54.06720423745137
133,line,2,179.4121309804089,54.00843301109812
146,internet,2,175.61297340294809,52.864772622028305
56,some,2,174.30037155071807,52.469640092142974
134,like,3,109.0195555566588,52.01554713617299
69,s,3,108.44149985364972,51.739744473855446
72,reproduced,2,169.60496161870515,51.056180860668505
20,using,2,168.15972032323373,50.62111987975934
29,typesetting,2,166.0802787815539,49.995145601483955
23,use,3,102.94312737536161,49.11635409809856
44,that,2,154.2967767120349,46.44795802459014
12,web,2,152.910482350915,46.03064183907322
174,form,2,152.6471777200802,45.951379247194716
40,there,2,142.0265672290032,42.75425691711697
212,comes,2,139.7808656012526,42.07823336585261
81,readable,2,133.50236129523648,40.18821524183629
218,cicero,2,131.64061483298246,39.62777371237653
17,versions,3,82.92434058469847,39.56496542657196
122,malorum,2,129.21676600216614,38.89812250934575
226,bonorum,2,128.88975460129888,38.7996822687606
8,which,2,128.77998279215706,38.76663766153061
207,de,2,128.5619427667591,38.70100107363049
178,finibus,2,128.03280180264508,38.54171377149761
188,et,2,127.66706575030393,38.4316162492472
65,sections,2,127.37556841577556,38.34386680789806
98,page,2,127.26403667019702,38.31029240701015
132,literature,2,126.30657705041135,38.022068341817636
10,when,2,125.18459512851717,37.684318128734766
216,classical,2,124.05412213900918,37.344011849604925
102,or,2,123.68342706110077,37.2324215119095
118,model,2,122.23139766294642,36.795317108479125
96,passage,2,116.56716705448885,35.09021379297535
177,first,2,116.49009167816132,35.06701179277368
38,this,2,116.07217478831903,34.941206273236546
165,going,2,115.58199126728482,34.79364633002506
1,years,2,114.09424023955802,34.34578864459938
232,bc,2,113.23205439049943,34.086244842195725
205,desktop,2,105.0833268922787,31.633233438739378
86,publishing,2,104.39017971171876,31.424575345980916
6,will,2,99.53814944779913,29.963968696671685
231,be,2,93.30478955646161,28.08754039561032
92,popular,2,86.5234473434418,26.046152978628992
130,look,2,83.9676727490049,25.27678816354754
9,where,2,80.23114048833011,24.15197987331828
159,have,2,77.19843598082873,23.239044848575002
224,but,2,75.80473183118708,22.819498094451504
95,passages,2,73.52684396991488,22.1337855214497
43,the,28,143.56803582771656,207.76563609210748
144,ipsum,19,159.7393587842473,204.26728025925212
126,lorem,19,158.44721903126427,202.6149518971908
191,english,2,65.79629407822831,19.806658121075102
108,of,21,137.50784564906408,181.81552669448615
243,also,2,62.2101805978961,18.72713039564015
248,a,15,147.76873973087362,173.78952315915444
175,for,2,58.39389001657607,17.57831245849289
111,not,2,57.94931861420225,17.444483131163967
62,simply,2,57.25617143364229,17.2358250384055
143,is,8,179.08608038993268,161.73084600978245
61,since,2,54.919568469646826,16.532437458285504
52,standard,2,52.9174096272074,15.92972759062736
35,to,7,165.1188622344488,139.54162684371678
172,from,8,151.57893665326733,136.88941993045182
141,it,11,124.9607892779744,130.13325188568092
225,book,2,43.715407746004544,13.159649004228918
234,at,2,39.92749191964371,12.01937271944399
153,in,10,113.52054078213392,113.52054078213392
139,latin,4,167.12739415531018,100.620717475811
117,more,2,34.62054543694447,10.421822642768058
27,uncover,1,0.0,0.0
192,embarrassing,1,0.0,0.0
170,generate,1,0.0,0.0
193,electronic,1,0.0,0.0
194,editors,1,0.0,0.0
169,generated,1,0.0,0.0
195,during,1,0.0,0.0
168,generator,1,0.0,0.0
197,dont,1,0.0,0.0
28,unchanged,1,0.0,0.0
198,dolor,1,0.0,0.0
199,does,1,0.0,0.0
200,do,1,0.0,0.0
201,distribution,1,0.0,0.0
202,distracted,1,0.0,0.0
171,galley,1,0.0,0.0
176,five,1,0.0,0.0
190,essentially,1,0.0,0.0
33,translation,1,0.0,0.0
32,treatise,1,0.0,0.0
179,fact,1,0.0,0.0
180,extremes,1,0.0,0.0
181,exact,1,0.0,0.0
182,evolved,1,0.0,0.0
183,evil,1,0.0,0.0
184,ever,1,0.0,0.0
185,even,1,0.0,0.0
186,ethics,1,0.0,0.0
187,etc,1,0.0,0.0
204,dictionary,1,0.0,0.0
34,took,1,0.0,0.0
31,true,1,0.0,0.0
173,free,1,0.0,0.0
189,established,1,0.0,0.0
203,discovered,1,0.0,0.0
74,repeat,1,0.0,0.0
26,undoubtable,1,0.0,0.0
4,word,1,0.0,0.0
229,belief,1,0.0,0.0
230,been,1,0.0,0.0
14,was,1,0.0,0.0
13,we,1,0.0,0.0
233,available,1,0.0,0.0
11,what,1,0.0,0.0
7,why,1,0.0,0.0
237,anything,1,0.0,0.0
239,an,1,0.0,0.0
206,default,1,0.0,0.0
240,amet,1,0.0,0.0
241,always,1,0.0,0.0
242,alteration,1,0.0,0.0
2,written,1,0.0,0.0
244,all,1,0.0,0.0
245,aldus,1,0.0,0.0
246,accompanied,1,0.0,0.0
247,accident,1,0.0,0.0
228,believable,1,0.0,0.0
227,below,1,0.0,0.0
15,virginia,1,0.0,0.0
16,very,1,0.0,0.0
167,generators,1,0.0,0.0
208,contrary,1,0.0,0.0
24,up,1,0.0,0.0
210,containing,1,0.0,0.0
211,consectetur,1,0.0,0.0
22,used,1,0.0,0.0
213,come,1,0.0,0.0
214,combined,1,0.0,0.0
215,college,1,0.0,0.0
21,uses,1,0.0,0.0
217,cites,1,0.0,0.0
19,variations,1,0.0,0.0
219,chunks,1,0.0,0.0
220,chunk,1,0.0,0.0
221,centuries,1,0.0,0.0
222,can,1,0.0,0.0
18,various,1,0.0,0.0
25,unknown,1,0.0,0.0
161,handful,1,0.0,0.0
166,get,1,0.0,0.0
68,scrambled,1,0.0,0.0
97,pagemaker,1,0.0,0.0
66,section,1,0.0,0.0
99,packages,1,0.0,0.0
64,sentence,1,0.0,0.0
101,original,1,0.0,0.0
63,sheets,1,0.0,0.0
103,opposed,1,0.0,0.0
104,only,1,0.0,0.0
105,one,1,0.0,0.0
107,old,1,0.0,0.0
109,obscure,1,0.0,0.0
110,now,1,0.0,0.0
112,normal,1,0.0,0.0
113,noncharacteristic,1,0.0,0.0
114,need,1,0.0,0.0
115,necessary,1,0.0,0.0
116,moreorless,1,0.0,0.0
67,search,1,0.0,0.0
94,piece,1,0.0,0.0
164,good,1,0.0,0.0
93,point,1,0.0,0.0
76,remaining,1,0.0,0.0
77,release,1,0.0,0.0
78,recently,1,0.0,0.0
79,reasonable,1,0.0,0.0
80,reader,1,0.0,0.0
73,repetition,1,0.0,0.0
82,randomised,1,0.0,0.0
83,random,1,0.0,0.0
84,rackham,1,0.0,0.0
85,purpose,1,0.0,0.0
71,richard,1,0.0,0.0
87,professor,1,0.0,0.0
88,printing,1,0.0,0.0
89,printer,1,0.0,0.0
90,predefined,1,0.0,0.0
91,popularised,1,0.0,0.0
70,roots,1,0.0,0.0
60,sit,1,0.0,0.0
119,middle,1,0.0,0.0
120,mcclintock,1,0.0,0.0
59,sites,1,0.0,0.0
47,survived,1,0.0,0.0
147,interested,1,0.0,0.0
46,tend,1,0.0,0.0
149,infancy,1,0.0,0.0
150,industrys,1,0.0,0.0
151,industry,1,0.0,0.0
152,including,1,0.0,0.0
154,if,1,0.0,0.0
155,i,1,0.0,0.0
41,theory,1,0.0,0.0
157,hidden,1,0.0,0.0
39,therefore,1,0.0,0.0
37,those,1,0.0,0.0
36,through,1,0.0,0.0
75,renaissance,1,0.0,0.0
162,hampdensydney,1,0.0,0.0
163,h,1,0.0,0.0
145,into,1,0.0,0.0
48,sure,1,0.0,0.0
142,isnt,1,0.0,0.0
129,looked,1,0.0,0.0
58,slightly,1,0.0,0.0
57,software,1,0.0,0.0
54,source,1,0.0,0.0
125,majority,1,0.0,0.0
53,specimen,1,0.0,0.0
127,looks,1,0.0,0.0
128,looking,1,0.0,0.0
131,long,1,0.0,0.0
140,its,1,0.0,0.0
51,still,1,0.0,0.0
50,structures,1,0.0,0.0
49,suffered,1,0.0,0.0
135,letters,1,0.0,0.0
136,letraset,1,0.0,0.0
137,leap,1,0.0,0.0
138,layout,1,0.0,0.0
124,make,1,0.0,0.0
